经度,维度,,,,,0,0
120.8937176,30.74063423,0,50,道路,bd09,120.88301488839546,30.737398962425647
120.0080637,29.2935118,0,50,道路,bd09,119.9970375350941,29.28982169671676
120.9886762,32.00860088,1,80,道路,bd09,120.97784828020541,32.004503729108194
120.4545611,31.48798992,0,25,乡镇,bd09,120.44341960236271,31.483836692974926
113.3233241,22.61818834,1,80,工业园区,bd09,113.31142022517857,22.615097020038284
108.385332,22.68952298,1,80,道路,bd09,108.37478687349285,22.68605499361945
106.6436025,29.74550468,0,50,UNKNOWN,bd09,106.63330683601723,29.7425303918362
116.1346437,38.12796066,0,30,村庄,bd09,116.12208170228445,38.12115242545386
114.395478,38.15995622,0,40,道路,bd09,114.382664636823,38.15311970870787
118.2645137,35.07563301,0,25,道路,bd09,118.25227593295317,35.07055654372812
116.7085807,39.80194088,0,75,政府机构,bd09,116.69598056767218,39.79511496500041
121.2268402,31.20523673,1,80,道路,bd09,121.2159483747192,31.201082480358217
116.7085807,39.80194088,0,75,政府机构,bd09,116.69598056767218,39.79511496500041
121.2268402,31.20523673,1,80,道路,bd09,121.2159483747192,31.201082480358217
120.4661479,30.24509853,0,40,道路,bd09,120.45521610089779,30.241263921962123
116.5968992,40.13609599,1,80,道路,bd09,116.58447469868541,40.12934008265465
113.4870708,23.18749154,0,16,区县,bd09,113.47514205540718,23.18424986164739
121.534234,31.06646012,1,80,道路,bd09,121.52341976890098,31.062696130230943
113.8368339,22.64648838,0,30,飞机场,bd09,113.82527951053126,22.643738733245563
114.0750223,22.67536393,1,80,UNKNOWN,bd09,114.06333915538926,22.672356742169256
113.6223883,22.8772618,0,30,UNKNOWN,bd09,113.61086114659552,22.874125693308457
113.8394262,22.62646901,1,80,道路,bd09,113.82786862498612,22.623698014998972
116.6260153,40.054891,0,30,飞机场,bd09,116.61377005201982,40.04767518485808
113.8310961,22.67766058,0,30,商圈,bd09,113.81950739889915,22.674930647887255
121.211354,31.23478089,1,80,道路,bd09,121.20046404579364,31.23041206732388
120.7062968,31.13239141,0,75,交叉路口,bd09,120.69552650541871,31.12833763706988
113.086331,28.22118054,0,50,道路,bd09,113.07390753153702,28.218516919900516
118.9266429,31.94452673,0,55,道路,bd09,118.91520008927884,31.9403505134798
104.0408994,30.45947753,0,14,区县,bd09,104.03208734377382,30.45573912925584
114.1453115,30.66404905,0,75,交叉路口,bd09,114.13318333372588,30.660144426348822
121.3350809,31.21134836,1,80,道路,bd09,121.32411772364918,31.20695725177408
113.8002633,22.69642268,1,75,地产小区,bd09,113.78863050355164,22.693366663765673
113.7339216,22.82138067,1,80,道路,bd09,113.72221511746243,22.81824027152412
121.3469656,31.22600858,1,80,道路,bd09,121.33592363719217,31.221738636125902
113.9647773,22.91856878,1,70,工业园区,bd09,113.9533221034332,22.915650821065775
117.3535484,39.12917124,0,50,道路,bd09,117.34065870479779,39.12177611766222
109.044199,34.49631397,0,80,地产小区,bd09,109.03258057804322,34.49171404531607
118.0269883,24.60421115,1,80,道路,bd09,118.01553334285498,24.601348121653615
113.3565788,23.46776527,1,80,工业园区,bd09,113.34452346544384,23.464516513473203
113.1789297,22.86216342,0,30,村庄,bd09,113.16708510969973,22.858595159233253
120.4597734,31.50646175,0,75,交叉路口,bd09,120.44868732674978,31.502222307820364
113.907624,34.70944595,1,80,工业园区,bd09,113.89530594373116,34.704522490202045
120.2945728,36.37011947,1,80,道路,bd09,120.28293910846764,36.364206099262354
120.3719116,30.30789609,0,40,工业园区,bd09,120.36091725745,30.30383979440012
119.3537583,26.02701656,1,80,UNKNOWN,bd09,119.34231326550793,26.02432687797363
114.1861241,22.29358599,0,14,城市,bd09,114.17463919697603,22.290693139399423
121.0816984,31.33623455,1,80,道路,bd09,121.0706717915628,31.33169065868952
113.317069,23.42603374,0,30,飞机场,bd09,113.30513555747835,23.422575316116742
113.4137691,22.99282146,0,60,道路,bd09,113.40182605226562,22.98906212267885
118.5147205,24.82503291,0,40,道路,bd09,118.50354394739237,24.822213841386922
116.5745945,40.13068924,0,50,UNKNOWN,bd09,116.56215270545346,40.12389889244529
121.4924324,29.8345696,0,50,道路,bd09,121.48150956946519,29.831251779567175
113.3209079,22.61556048,1,80,工业园区,bd09,113.30901484063425,22.61243241272084
114.7684178,38.01195342,0,30,村庄,bd09,114.7558800695073,38.005486989154406
120.739001,30.68679454,0,40,道路,bd09,120.72828225695162,30.682849527131662
106.5423098,29.60076266,1,80,生活服务,bd09,106.53209771208284,29.597473488671955
120.0080637,29.2935118,1,80,道路,bd09,119.9970375350941,29.28982169671676
126.6885926,45.61918133,1,80,生活服务,bd09,126.67596982319634,45.61127440808448
102.850331,24.91886224,0,80,UNKNOWN,bd09,102.84251501065283,24.915648419745565
116.7679688,23.41519093,1,80,工业园区,bd09,116.75695085943259,23.411413394840523
116.7077027,39.63201312,1,80,政府机构,bd09,116.69509324486656,39.62520278145717
120.1013806,30.28749367,1,80,UNKNOWN,bd09,120.09007336047127,30.283668032507197
114.3140472,22.97111571,0,30,村庄,bd09,114.30259294645793,22.968115416317232
